id;name;playtime_forever;img_icon_url;completed;played;date;genre;platform;appid;last_played;img_url
243160;Mushroom 11;2383;http://media.steampowered.com/steamcommunity/public/images/apps/243160/790733fec1dd0894dfdd05e27f6e2d9d2e70625e.jpg;False;True;2020-01-01;;Steam;243160;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/243160/header.jpg
760060;Mutant Year Zero: Road to Eden;0;http://media.steampowered.com/steamcommunity/public/images/apps/760060/b263a08326409d579612ac5745bab3c3543ab442.jpg;False;False;2020-01-01;;Steam;760060;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/760060/header.jpg
666140;My Time At Portia;0;http://media.steampowered.com/steamcommunity/public/images/apps/666140/06668be3a8b596a5980adf1b61b0c0dd515b5acd.jpg;False;False;2020-01-01;;Steam;666140;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/666140/header.jpg
802450;NAIRI: Tower of Shirin;0;http://media.steampowered.com/steamcommunity/public/images/apps/802450/6210b190711e638be09703eea937559d6c6bdd97.jpg;False;False;2020-01-01;;Steam;802450;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/802450/header.jpg
385760;NBA 2K17;0;http://media.steampowered.com/steamcommunity/public/images/apps/385760/93dcbf8da0e0893108ff6646f033b468cb54cae2.jpg;False;False;2020-01-01;;Steam;385760;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/385760/header.jpg
545270;NBA Playgrounds;0;http://media.steampowered.com/steamcommunity/public/images/apps/545270/90b4faaca4ad5ff992a28d58c15b0b6e2334757f.jpg;False;False;2020-01-01;;Steam;545270;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/545270/header.jpg
310740;NEON STRUCT;200;http://media.steampowered.com/steamcommunity/public/images/apps/310740/1e457b564700fd89576e8e44e3586ea3fe42460b.jpg;False;True;2020-01-01;;Steam;310740;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/310740/header.jpg
4920;Natural Selection 2;71;http://media.steampowered.com/steamcommunity/public/images/apps/4920/6c2af07776e2042ee63bc3b6aeda129b88939829.jpg;False;True;2020-01-01;;Steam;4920;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/4920/header.jpg
428750;Neon Chrome;343;http://media.steampowered.com/steamcommunity/public/images/apps/428750/5baf6568787f5be7cfee49ae0ce046f5fbed48ca.jpg;False;True;2020-01-01;;Steam;428750;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/428750/header.jpg
400450;NeuroVoider;0;http://media.steampowered.com/steamcommunity/public/images/apps/400450/d8304c9ab7d6ee668bd3514066cd5a05ac2cee0b.jpg;False;False;2020-01-01;;Steam;400450;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/400450/header.jpg
404540;Nex Machina;0;http://media.steampowered.com/steamcommunity/public/images/apps/404540/8bc02e3124a0f54328cf3bac0612675fa6c94207.jpg;False;False;2020-01-01;;Steam;404540;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/404540/header.jpg
440650;Niche - a genetics survival game;0;http://media.steampowered.com/steamcommunity/public/images/apps/440650/c8a821f87547de4a58420636a1360f8533089c8d.jpg;False;False;2020-01-01;;Steam;440650;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/440650/header.jpg
94400;Nidhogg;1869;http://media.steampowered.com/steamcommunity/public/images/apps/94400/7c48625fa63e0afd2595ba1f719758ed3d89fb03.jpg;False;True;2020-01-01;;Steam;94400;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/94400/header.jpg
351100;Niffelheim;0;http://media.steampowered.com/steamcommunity/public/images/apps/351100/3b142924a94322fddbdd8fbf14ce13dc0e862557.jpg;False;False;2020-01-01;;Steam;351100;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/351100/header.jpg
680380;Night Call;0;http://media.steampowered.com/steamcommunity/public/images/apps/680380/9f11f8936f8cb7e87a6c77d2b718d57bc955b1ad.jpg;False;False;2020-01-01;;Steam;680380;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/680380/header.jpg
319470;Ninja Pizza Girl;2489;http://media.steampowered.com/steamcommunity/public/images/apps/319470/9a5292628f12ede7419e9bb5a3354884329fed3a.jpg;False;True;2020-01-01;;Steam;319470;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/319470/header.jpg
224260;No More Room in Hell;0;http://media.steampowered.com/steamcommunity/public/images/apps/224260/684de0d9c5749b5ddd52f120894fd97efd620b1d.jpg;False;False;2020-01-01;;Steam;224260;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/224260/header.jpg
368730;No Time To Explain Remastered;2308;http://media.steampowered.com/steamcommunity/public/images/apps/368730/4cea102f506d192056197b347544bfe77489e847.jpg;False;True;2020-01-01;;Steam;368730;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/368730/header.jpg
1304780;Nongunz: Doppelganger Edition;0;http://media.steampowered.com/steamcommunity/public/images/apps/1304780/7de59e11e79b08f195af800e10cbaba4d6696125.jpg;False;False;2020-01-01;;Steam;1304780;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/1304780/header.jpg
633130;Nongünz;0;http://media.steampowered.com/steamcommunity/public/images/apps/633130/22b3c466d9c24bba14ae3c32034aa0e1efa2fcf5.jpg;False;False;2020-01-01;;Steam;633130;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/633130/header.jpg
466560;Northgard;193;http://media.steampowered.com/steamcommunity/public/images/apps/466560/f290db6bc98c8b40d01a13b9c99baaf705c6ac17.jpg;False;True;2020-01-01;;Steam;466560;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/466560/header.jpg
325370;Nova-111;234;http://media.steampowered.com/steamcommunity/public/images/apps/325370/597875757746770bb3762f24b3d3123d0cbe68ad.jpg;False;True;2020-01-01;;Steam;325370;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/325370/header.jpg
242680;Nuclear Throne;719;http://media.steampowered.com/steamcommunity/public/images/apps/242680/8ccc158cb6a7ca2f8cee6da9bfc4084c90e76ed2.jpg;False;True;2020-01-01;;Steam;242680;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/242680/header.jpg
425220;ONE PIECE BURNING BLOOD;0;http://media.steampowered.com/steamcommunity/public/images/apps/425220/094dbbc21341f890f0815377ad91361603a58b32.jpg;False;False;2020-01-01;;Steam;425220;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/425220/header.jpg
331600;ONE PIECE PIRATE WARRIORS 3;2913;http://media.steampowered.com/steamcommunity/public/images/apps/331600/f8d8859c604acf2709a8e8de6907d4d4f91520f6.jpg;False;True;2020-01-01;;Steam;331600;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/331600/header.jpg
514900;Observer;0;http://media.steampowered.com/steamcommunity/public/images/apps/514900/9bc60be48d6df66694f8774598a4a54631dc3d8c.jpg;False;False;2020-01-01;;Steam;514900;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/514900/header.jpg
224480;Octodad: Dadliest Catch;2458;http://media.steampowered.com/steamcommunity/public/images/apps/224480/a2def5192d16c9a997dfff6d4f1febcd28ee83f9.jpg;False;True;2020-01-01;;Steam;224480;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/224480/header.jpg
15710;Oddworld: Abe's Exoddus;0;http://media.steampowered.com/steamcommunity/public/images/apps/15710/146cabd04a2e1a813085fbc4511c10ca01fac51b.jpg;False;False;2020-01-01;;Steam;15710;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/15710/header.jpg
15700;Oddworld: Abe's Oddysee;416;http://media.steampowered.com/steamcommunity/public/images/apps/15700/146cabd04a2e1a813085fbc4511c10ca01fac51b.jpg;False;True;2020-01-01;;Steam;15700;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/15700/header.jpg
314660;Oddworld: New 'n' Tasty;1868;http://media.steampowered.com/steamcommunity/public/images/apps/314660/d97ac24c073bf569ae2e892c93345c2ff2d4b2df.jpg;False;True;2020-01-01;;Steam;314660;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/314660/header.jpg
271240;Offworld Trading Company;1651;http://media.steampowered.com/steamcommunity/public/images/apps/271240/9de4993ce3b46c59341f9acdb4ba2ec54a489594.jpg;False;True;2020-01-01;;Steam;271240;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/271240/header.jpg
587620;Okami HD;0;http://media.steampowered.com/steamcommunity/public/images/apps/587620/fb528ddda674892e2430fbf4a3b2e79cd16e35c9.jpg;False;False;2020-01-01;;Steam;587620;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/587620/header.jpg
400180;Okhlos: Omega;623;http://media.steampowered.com/steamcommunity/public/images/apps/400180/f59290f7662b535183fa28befa359fd2175d97af.jpg;False;True;2020-01-01;;Steam;400180;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/400180/header.jpg
581270;Old Man's Journey;0;http://media.steampowered.com/steamcommunity/public/images/apps/581270/91390e0de27b0f24cab0d2c221608afe1bf41838.jpg;False;False;2020-01-01;;Steam;581270;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/581270/header.jpg
558990;Opus Magnum;4532;http://media.steampowered.com/steamcommunity/public/images/apps/558990/b4495499d1319f1e96f7d86fe880d4e0b11e2562.jpg;False;True;2020-01-01;;Steam;558990;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/558990/header.jpg
233740;Organ Trail: Director's Cut;542;http://media.steampowered.com/steamcommunity/public/images/apps/233740/b2ae5274b8ea39e7db518436e0883f54c0f5ebb9.jpg;False;True;2020-01-01;;Steam;233740;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/233740/header.jpg
491950;Orwell;0;http://media.steampowered.com/steamcommunity/public/images/apps/491950/b441225f23801a11dce373c2ee9caea2061b3858.jpg;False;False;2020-01-01;;Steam;491950;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/491950/header.jpg
414700;Outlast 2;0;http://media.steampowered.com/steamcommunity/public/images/apps/414700/f336155a1714d0d413dea897f63ef19ee1f7cf21.jpg;False;False;2020-01-01;;Steam;414700;2020-01-01;https://cdn.akamai.steamstatic.com/steam/apps/414700/header.jpg
